team_id,team_name,abbrev,league,division,elo,elo_rank,wins,losses,games_played,projected_wins,p_make_playoffs,p_win_division,p_first_round_bye,p_win_pennant,p_win_world_series,world_series_rank
147,New York Yankees,NYY,American League,American League East,1558.754770035607,3,40,26,66,97.0,0.9992,0.846,0.8399,0.4086,0.2166,1
119,Los Angeles Dodgers,LAD,National League,National League West,1566.1907441091032,1,43,24,67,99.4,0.9988,0.9851,0.7596,0.3175,0.197,2
158,Milwaukee Brewers,MIL,National League,National League Central,1559.2766272821425,2,41,24,65,97.0,0.9938,0.9265,0.5451,0.2559,0.1517,3
144,Atlanta Braves,ATL,National League,National League East,1547.955617706268,4,45,22,67,98.2,0.9975,0.9473,0.6565,0.2399,0.1331,4
136,Seattle Mariners,SEA,American League,American League West,1522.538310642737,6,36,32,68,86.1,0.8486,0.6224,0.3682,0.1554,0.0602,5
114,Cleveland Guardians,CLE,American League,American League Central,1509.8860199963897,9,37,32,69,86.0,0.8527,0.705,0.3622,0.1291,0.0499,6
139,Tampa Bay Rays,TB,American League,American League East,1511.4407336210766,7,39,25,64,89.8,0.9544,0.1496,0.1474,0.1129,0.044,7
143,Philadelphia Phillies,PHI,National League,National League East,1523.930589550881,5,36,31,67,86.8,0.7398,0.0498,0.0191,0.0649,0.0309,8
140,Texas Rangers,TEX,American League,American League West,1507.7854377970414,10,32,34,66,82.4,0.5935,0.2616,0.1303,0.069,0.0258,9
138,St. Louis Cardinals,STL,National League,National League Central,1501.700141216819,14,36,27,63,85.3,0.6158,0.0492,0.012,0.0346,0.0156,10
141,Toronto Blue Jays,TOR,American League,American League East,1504.677169089945,12,33,35,68,79.5,0.3475,0.0033,0.0033,0.0324,0.0118,11
112,Chicago Cubs,CHC,National League,National League Central,1510.966826672242,8,34,33,67,82.1,0.359,0.0155,0.0023,0.0241,0.0107,12
145,Chicago White Sox,CWS,American League,American League Central,1483.6294384421597,22,35,31,66,81.3,0.517,0.2452,0.0942,0.038,0.0101,13
135,San Diego Padres,SD,National League,National League West,1506.9249598137387,11,34,32,66,82.7,0.4057,0.0099,0.0029,0.0258,0.0101,13
109,Arizona Diamondbacks,AZ,National League,National League West,1498.6447806333722,15,34,32,66,81.4,0.303,0.0049,0.0013,0.0165,0.0063,15
133,Athletics,ATH,American League,American League West,1481.10763507278,25,32,35,67,78.8,0.3047,0.089,0.0347,0.0184,0.0057,16
134,Pittsburgh Pirates,PIT,National League,National League Central,1495.410985516245,16,34,33,67,80.7,0.2467,0.0081,0.0006,0.0101,0.0047,17
111,Boston Red Sox,BOS,American League,American League East,1502.3844045163294,13,27,38,65,75.5,0.1198,0.0006,0.0005,0.0089,0.0034,18
110,Baltimore Orioles,BAL,American League,American League East,1488.3046514169428,18,31,37,68,76.4,0.1493,0.0005,0.0005,0.007,0.0025,19
117,Houston Astros,HOU,American League,American League West,1486.4892997387688,20,31,38,69,75.6,0.1218,0.0264,0.0084,0.0084,0.0025,19
116,Detroit Tigers,DET,American League,American League Central,1485.86878762914,21,27,39,66,73.7,0.0654,0.0182,0.0038,0.004,0.0017,21
120,Washington Nationals,WSH,National League,National League East,1478.1120820341223,27,35,33,68,78.8,0.1472,0.0018,0.0003,0.0041,0.0015,22
146,Miami Marlins,MIA,National League,National League East,1487.3525941258936,19,32,35,67,77.9,0.1152,0.001,0.0003,0.0036,0.0014,23
142,Minnesota Twins,MIN,American League,American League Central,1471.5899010288474,28,30,38,68,73.5,0.0573,0.0146,0.0026,0.0035,0.0012,24
113,Cincinnati Reds,CIN,National League,National League Central,1482.634778424542,23,32,34,66,75.5,0.0509,0.0007,0.0,0.0021,0.0008,25
118,Kansas City Royals,KC,American League,American League Central,1482.5762490872207,24,28,39,67,73.6,0.0655,0.017,0.0039,0.0043,0.0007,26
121,New York Mets,NYM,National League,National League East,1489.82070534252,17,29,37,66,73.3,0.0171,0.0001,0.0,0.0007,0.0001,27
137,San Francisco Giants,SF,National League,National League West,1479.016748140193,26,27,41,68,72.3,0.0095,0.0001,0.0,0.0002,0.0,28
108,Los Angeles Angels,LAA,American League,American League West,1458.6260434962483,29,26,42,68,67.9,0.0033,0.0006,0.0001,0.0001,0.0,28
115,Colorado Rockies,COL,National League,National League West,1416.4029678206807,30,25,42,67,61.6,0.0,0.0,0.0,0.0,0.0,28
