season,pitcher_id,team_id,date,game_id,gs,ip,er,bb,so,hr,hbp,bf
2015,112526,121,2015-04-06,413657,1,6.0,1,1,8,1,0,23
2015,112526,121,2015-04-12,413733,1,7.0,3,0,5,1,0,27
2015,112526,121,2015-04-17,413797,1,7.0,1,0,5,1,0,26
2015,112526,121,2015-04-23,413873,1,6.0,3,0,5,0,0,24
2015,112526,121,2015-04-29,413966,1,6.666666666666667,4,0,2,1,0,29
2015,112526,121,2015-05-05,414039,1,7.666666666666667,1,0,9,1,0,29
2015,112526,121,2015-05-10,414119,1,6.0,4,0,6,1,0,26
2015,112526,121,2015-05-15,414183,1,5.0,5,0,2,2,0,23
2015,112526,121,2015-05-20,414254,1,4.333333333333333,8,2,4,2,0,27
2015,112526,121,2015-05-25,414323,1,6.0,3,2,6,0,0,26
2015,112526,121,2015-05-31,414404,1,7.0,3,0,2,1,0,27
2015,112526,121,2015-06-06,414483,1,7.0,2,1,7,1,0,26
2015,112526,121,2015-06-12,414554,1,6.0,2,2,3,0,1,27
2015,112526,121,2015-06-18,414651,1,4.333333333333333,6,1,4,1,0,24
2015,112526,121,2015-06-24,414734,1,6.0,4,1,3,1,0,28
2015,112526,121,2015-07-01,414822,1,7.0,0,1,8,0,0,25
2015,112526,121,2015-07-07,414911,1,6.0,2,0,4,0,0,29
2015,112526,121,2015-07-18,415013,1,4.333333333333333,7,3,5,0,1,25
2015,112526,121,2015-07-23,415077,1,8.0,1,0,4,1,1,27
2015,112526,121,2015-07-29,415166,1,2.333333333333333,6,0,1,2,0,17
2015,112526,121,2015-08-03,415232,1,8.0,1,0,5,0,0,31
2015,112526,121,2015-08-09,415316,1,6.666666666666667,4,0,0,1,0,28
2015,112526,121,2015-08-14,415378,1,7.0,1,2,7,1,0,26
2015,112526,121,2015-08-21,415472,1,3.6666666666666665,7,2,1,3,0,22
2015,112526,121,2015-08-26,415541,1,7.0,0,2,8,0,1,28
2015,112526,121,2015-08-29,415575,0,1.0,0,0,2,0,0,4
2015,112526,121,2015-08-31,415609,1,8.0,0,1,9,0,0,28
2015,112526,121,2015-09-05,415674,1,9.0,0,0,2,0,0,33
2015,112526,121,2015-09-10,415744,1,6.666666666666667,2,1,2,0,0,27
2015,112526,121,2015-09-16,415828,1,5.666666666666667,3,1,2,2,0,23
2015,112526,121,2015-09-23,415916,1,6.333333333333333,3,1,1,0,0,25
2015,112526,121,2015-09-29,416003,1,5.0,3,0,3,1,0,22
2015,112526,121,2015-10-04,416079,0,1.0,0,0,1,0,0,3
2015,136600,114,2015-05-09,414103,1,4.0,6,1,3,1,0,22
2015,136600,114,2015-05-15,414180,1,2.333333333333333,3,0,1,2,0,13
2015,150116,116,2015-08-22,415492,1,7.0,3,0,5,0,0,29
2015,150116,116,2015-08-27,415547,1,7.0,1,2,5,0,0,25
2015,150116,116,2015-09-02,415635,1,3.6666666666666665,8,3,2,2,1,22
2015,150116,116,2015-09-07,415708,1,4.333333333333333,4,0,3,2,0,21
2015,150116,116,2015-09-13,415751,1,3.0,1,4,3,0,0,16
2015,150116,116,2015-09-21,415893,1,7.0,3,4,6,1,0,29
2015,150116,116,2015-09-27,415977,1,1.6666666666666663,4,1,3,0,0,14
2015,150116,116,2015-10-04,416070,0,1.0,0,1,1,0,0,5
2015,150302,113,2015-04-10,413707,1,6.0,3,2,7,1,0,25
2015,150302,113,2015-04-15,413771,1,4.0,4,3,6,1,1,23
2015,150302,113,2015-04-21,413847,1,5.0,5,0,8,1,0,23
2015,150302,113,2015-04-27,413935,1,8.0,2,2,3,0,0,30
2015,150302,113,2015-05-02,414000,1,6.333333333333333,3,2,4,1,0,25
2015,150302,113,2015-05-09,414083,1,5.666666666666667,5,1,0,3,0,27
2015,150302,113,2015-05-15,414186,1,3.0,6,2,4,2,0,18
2015,150302,113,2015-05-20,414245,1,3.6666666666666665,4,0,1,0,0,16
2015,150302,113,2015-05-25,414318,1,5.666666666666667,2,2,4,1,0,29
2015,150359,134,2015-04-09,413691,1,5.333333333333333,2,1,7,1,0,20
2015,150359,134,2015-04-14,413760,1,6.666666666666667,1,2,8,0,0,28
2015,150359,134,2015-04-20,413835,1,6.0,1,2,1,0,1,26
2015,150359,134,2015-04-25,413909,1,7.0,1,2,4,0,0,27
2015,150359,134,2015-05-01,413992,1,6.0,0,3,7,0,0,22
2015,150359,134,2015-05-07,414070,1,7.0,2,2,4,1,0,28
2015,150359,134,2015-05-12,414143,1,7.0,1,1,5,0,0,26
2015,150359,134,2015-05-17,414215,1,7.0,0,5,7,0,0,26
2015,150359,134,2015-05-23,414291,1,7.0,1,0,10,0,1,26
2015,150359,134,2015-05-28,414364,1,5.666666666666667,4,2,6,0,0,28
2015,150359,134,2015-06-02,414433,1,5.0,4,2,5,1,0,25
2015,150359,134,2015-06-08,414510,1,7.0,1,1,6,0,0,26
2015,150359,134,2015-06-14,414594,1,9.0,0,1,4,0,0,31
2015,150359,134,2015-06-19,414667,1,6.666666666666667,3,1,7,0,0,33
2015,150359,134,2015-06-25,414744,1,6.0,1,2,5,0,0,28
2015,150359,134,2015-07-01,414830,1,7.0,2,0,4,0,0,29
2015,150359,134,2015-07-06,414899,1,7.666666666666667,1,3,4,0,0,29
2015,150359,134,2015-07-11,414970,1,6.333333333333333,3,3,6,1,2,30
2015,150359,134,2015-07-20,415039,1,6.0,6,1,2,2,2,30
2015,150359,134,2015-07-25,415113,1,5.666666666666667,5,0,8,0,2,29
2015,150359,134,2015-07-30,415177,1,4.333333333333333,7,2,4,1,1,27
2015,150359,134,2015-09-10,415743,1,5.0,3,2,3,1,0,19
2015,150359,134,2015-09-16,415822,1,5.333333333333333,2,1,7,0,0,24
2015,150359,134,2015-09-21,415897,1,5.666666666666667,2,4,5,1,1,27
2015,150359,134,2015-09-27,415980,1,6.0,2,2,5,1,1,27
2015,150359,134,2015-10-03,416053,1,6.666666666666667,3,4,9,1,0,28
2015,217096,133,2015-09-20,415883,0,1.0,2,1,0,1,0,6
2015,217096,133,2015-09-26,415967,1,2.0,4,1,0,1,0,13
