team_id,elo,team_name,abbrev,league,division
158,1569.3795005416735,Milwaukee Brewers,MIL,National League,National League Central
119,1552.242936349177,Los Angeles Dodgers,LAD,National League,National League West
112,1546.253676547499,Chicago Cubs,CHC,National League,National League Central
147,1544.6760396660713,New York Yankees,NYY,American League,American League East
111,1541.1967691053208,Boston Red Sox,BOS,American League,American League East
143,1539.2150041949626,Philadelphia Phillies,PHI,National League,National League East
144,1532.3654785841734,Atlanta Braves,ATL,National League,National League East
139,1529.5563517015032,Tampa Bay Rays,TB,American League,American League East
135,1523.1447161030628,San Diego Padres,SD,National League,National League West
109,1506.5458607738833,Arizona Diamondbacks,AZ,National League,National League West
114,1504.8066421200717,Cleveland Guardians,CLE,American League,American League Central
145,1502.0365770554156,Chicago White Sox,CWS,American League,American League Central
141,1500.3107978931243,Toronto Blue Jays,TOR,American League,American League East
116,1499.7146791505113,Detroit Tigers,DET,American League,American League Central
146,1498.4097942228336,Miami Marlins,MIA,National League,National League East
110,1498.1872453961123,Baltimore Orioles,BAL,American League,American League East
134,1497.0547445075908,Pittsburgh Pirates,PIT,National League,National League Central
117,1496.1119218035917,Houston Astros,HOU,American League,American League West
138,1492.786727541205,St. Louis Cardinals,STL,National League,National League Central
140,1487.4191067062643,Texas Rangers,TEX,American League,American League West
121,1486.8587205346498,New York Mets,NYM,National League,National League East
136,1486.2864671891532,Seattle Mariners,SEA,American League,American League West
142,1481.3106042320765,Minnesota Twins,MIN,American League,American League Central
118,1480.426325112393,Kansas City Royals,KC,American League,American League Central
120,1479.4350826759573,Washington Nationals,WSH,National League,National League East
137,1471.303400502263,San Francisco Giants,SF,National League,National League West
113,1468.4952663456784,Cincinnati Reds,CIN,National League,National League Central
108,1445.2874846777977,Los Angeles Angels,LAA,American League,American League West
133,1423.8678387817074,Athletics,ATH,American League,American League West
115,1415.314239984273,Colorado Rockies,COL,National League,National League West
